Key;de_DE;fr_FR;PHP;JS
Usergroup contains users.|Deletion not allowed.;Benutzergruppe enthält Benutzer.|Löschen nicht erlaubt.;;IO_Access;
Usergroup succesfully deleted;Benutzergruppe erfolgreich gelöscht;;IO_Access;
Duplicate usergroup;Benutzergruppe duplizieren;;;app.access
Create copy;Erzeuge Kopie;;;app.tools
Copy successfully created;Kopie erfolgreich angelegt;;;app.tools
Copy;Kopie;;Model_Usergroup;
Copy of {0};Kopie von {0};;Model_Usergroup;
Excel-Report;Excel-Bericht;;;app.tools
User- & Accessrights;Benutzer- und Zugriffsrechte;;IO_Access;
Usergroups;Benutzergruppen;;IO_Access;
Group;Gruppe;;IO_Access;
Email;Email;;;app.access
Language;Sprache;;;app.access
Locale;Lokalisierung;;;app.access
Last login;Letzte Anmeldung;;;app.access
# Logins;# Anmeldungen;;;app.access
Active from;Aktiv von;;;app.access
Active to;Aktiv bis;;;app.access
ERROR;FEHLER;ERREUR;IO_Select;
Code must be lowercase;Code muss kleingeschrieben werden.;;IO_Access;
Usergroup successfully deleted;Benutzergruppe erfolgreich gelöscht.;;IO_Access;
id;id;;IO_Access IO_Customermanagement;app.access app.customermanagement
Code;Code;;IO_Access IO_Customermanagement IO_Systemmanagement;
Name;Name;;IO_Access IO_Customermanagement IO_Systemmanagement;
Description;Beschreibung;;IO_Access IO_Customermanagement IO_Systemmanagement;
Usergroup;Benutzergruppe;;IO_Access IO_Systemmanagement;
Loginname;Loginname;;IO_Access;
Username;Benutzername;;IO_Access;
Email;Email;;IO_Access;
Language;Sprache;;IO_Access;
Locale;Lokalisierung;;IO_Access;
Lastlogin;Letzte Anmeldung;;IO_Access;
active_from;Aktiv von;;IO_Access;
active_to;Aktiv bis;;IO_Access;
Username may not be empty.;Benutzername darf nicht leer sein.;;IO_Access;
Username already exists.;Benutzername existiert bereits.;;IO_Access;
Username must be lowercase;Benutzername muss kleingeschrieben werden.;;IO_Access;
Name may not be empty.;Name darf nicht leer sein.;;IO_Access IO_Customermanagement;
Password may not be empty.;Password darf nicht leer sein.;;IO_Access;
A user with this name is already active.;Ein Benutzer mit diesem Namen ist bereits aktiv.;;IO_Access;
User successfully deleted;Benutzer erfolgreich gelöscht.;;IO_Access IO_Customermanagement;
Logincount;Anzahl Anmeldungen;;IO_Access;
Code is not available;Code ist nicht verfügbar.;;IO_Access;
Name is not available;Name ist nicht verfügbar.;;IO_Access;
Description is not available;Beschreibung ist nicht verfügbar.;;IO_Access;
Accessrights;Zugriffsrechte;;IO_Access;
Access;Zugriff;;IO_Access;
This syntax is not possible.;Diese Schreibweise ist nicht möglich.;;IO_Customermanagement;
Code must begin with a Letter;Code must mit einem Buchstaben beginnen.;;IO_Customermanagement;
DB already exists;DB existiert bereits;;IO_Customermanagement;
Name may not be empty;Name darf nicht leer sein;;IO_Customermanagement;
Name already exists;Name existiert bereits;;IO_Customermanagement;
You delete all customer datas.;Sie löschen alle Kundendaten.;;IO_Customermanagement;
Customere successfully deleted;Kunde erfolgreich gelöscht;;IO_Customermanagement;
Database;Datenbank;;IO_Customermanagement;
Customer may not be empty;Kunde darf nicht leer sein;;IO_Customermanagement;
User may not be empty;Benutzer darf nicht leer sein;;IO_Customermanagement;
Role may not be empty;Rolle darf nicht leer sein;;IO_Customermanagement;
A Memberrole for your selection already exists;Es existiert bereits eine Kundenzuweisung für diesen Benutzer;;IO_Customermanagement;
You delete this customermember;Sie löschen diese Benutzerzuweisung;;IO_Customermanagement;
Customer-Members;Kunden - Benutzer;;IO_Customermanagement;
Members;Benutzer;;IO_Customermanagement;
User;Benutzer;;IO_Customermanagement IO_Systemmanagement;
Role;Rolle;;IO_Customermanagement;
registration error field empty name;Registrierungsfehler Feld Name ist leer;;IO_Registration;
registration error field invalid email;Registrationsfehler Email Adress unbrauchbar;;IO_Registration;
red registration subject internal notification;RED Registrierung Betreff interne Benachrichtigung;;IO_Registration;
registration email text internal notification {name},{email},{phone},{company},{comments};Registrierung E-Mail text interne Benachrichtigung {name},{email},{phone},{company},{comments};;IO_Registration;
red registration subject to registrant;RED Registrierung Betreff An die Registierten;;IO_Registration;
registration email text to registrant {name},{email},{phone},{company},{comments};Registrierungs Email  text an die Registrierten {name},{email},{phone},{company},{comments};;IO_Registration;
Modules;Module;;IO_Systemmanagement;
Active;Aktiv;Actif;IO_Systemmanagement Util_State;
Sort;Sort;;IO_Systemmanagement;
Date;Datum;;IO_Systemmanagement;
Host;Host;;IO_Systemmanagement;
Agent;Agent;;IO_Systemmanagement;
{0} cleared by {1};{0} gelöscht von {1};;IO_Systemmanagement;
You could not delete your own Session;Sie können ihre eigenen Session nicht löschen;;IO_Systemmanagement;
Session successfully deleted;Session erfolgreich gelöscht;;IO_Systemmanagement;
Remove user;Benutzer löschen;;;app.access
Allows users to switch between all and active Users';Erlaubt es dem Benutzer zwischen aktiven und allen Benutzern zu wechseln;;;app.access
Show only active;Nur aktive zeigen;;;app.access
Show all;Alle zeigen;;;app.access
User;Benutzer;;;app.access app.customermanagement
Date;Datum;;;app.access
Host;Host;;;app.access
Agent;Agent;;;app.access
Accessobjects;Zugriffsrecht;;;app.access
bool;bool;;;app.access
Add Customer;Kunde hinzufügen;;;app.customermanagement
Remove customer;Kunde löschen;;;app.customermanagement
Customers;Kunden;;;app.customermanagement
Customermember;Memberzuweisungen;;;app.customermanagement
Customer;Kunde;;IO_Customermanagement;app.customermanagement
Role;Rolle;;;app.customermanagement
Add Memberrole;Memberzuweisung hinzufügen;;;app.customermanagement
Memberrole;Memberzuweisung;;;app.customermanagement
Remove memberrole;Memberzuweisung löschen;;;app.customermanagement
Customer-Managment;Kunden-Management;;;app.customermanagement
Invalid upload information;Ungültige Upload-Informationen;Informations de chargement non valables;IO_Dropzone;
Error occured during upload;Während des Uploads ist ein Fehler aufgetreten;Une erreur est survenue pendant le chargement;IO_Dropzone;
Could not archive upload-file. See debug-log for further information.;Konnte hochgeladene Datei nicht archivieren. Siehe Debug-Protokoll für ausführlichere Informationen;Le fichier chargé n’a pas pu être archivé. Voir les informations détaillées dans le journal de débogage;IO_Dropzone;
Invalid Protocol;Ungültiges Protokoll;Protocole non valide;;app.tools
Canceled;Abgebrochen;Annulé;Util_State;
Missing;Vermisst;Manquant;Util_State;
Warnings;Warnungen;Alertes;;app.logPanel
Errors;Fehler;Erreurs;;app.logPanel
Memory;Speicher;Mémoire;;app.logPanel
Owner;Eigentümer;Propriétaire;;app.logPanel
Inactive;Inaktiv;Inactif;Util_State;
